sl_no,state,pc_name,count_of_elector,poll_percentage,count_of_votes
1,Andaman &amp; Nicobar Islands,Andaman &amp; Nicobar Islands,315148,64.10,202018
2,Arunachal Pradesh,Arunachal East,375310,83.31,312658
3,Arunachal Pradesh,Arunachal West,517384,73.60,380783
4,Assam,Dibrugarh,1659588,76.75,1273744
5,Assam,Jorhat,1727121,79.89,1379749
6,Assam,Kaziranga,2050126,79.33,1626408
7,Assam,Lakhimpur,1577234,76.42,1205331
8,Assam,Sonitpur,1633800,78.46,1281959
9,Bihar,Aurangabad,1871564,50.35,942382
10,Bihar,Gaya,1816815,52.76,958623
11,Bihar,Jamui,1907126,51.25,977369
12,Bihar,Nawada,2006124,43.17,866102
13,Chhattisgarh,BASTAR,1472207,68.29,1005392
14,Jammu and Kashmir,UDHAMPUR,1623195,68.27,1108206
15,Lakshadweep,Lakshadweep,57784,84.16,48630
16,Madhya Pradesh,BALAGHAT,1873653,73.45,1376207
17,Madhya Pradesh,CHHINDWARA,1632190,79.83,1303001
18,Madhya Pradesh,JABALPUR,1896346,61.00,1156722
19,Madhya Pradesh,MANDLA,2101811,72.84,1530861
20,Madhya Pradesh,SHAHDOL,1777185,64.68,1149506
21,Madhya Pradesh,SIDHI,2028451,56.50,1146150
22,Maharashtra,Bhandara Gondiya,1827188,67.04,1224928
23,Maharashtra,Chandrapur,1837906,67.55,1241574
24,Maharashtra,Gadchiroli - Chimur,1617207,71.88,1162476
25,Maharashtra,Nagpur,2223281,54.32,1207738
26,Maharashtra,Ramtek,2049085,61.01,1250190
27,Manipur,Inner Manipur,991574,80.15,794790
28,Manipur,Outer Manipur,553078,68.83,380688
29,Meghalaya,Shillong,1400411,73.78,1033251
30,Meghalaya,Tura,826156,81.37,672284
31,Mizoram,MIZORAM,856364,56.87,487013
32,Nagaland,Nagaland,1317536,57.72,760507
33,Puducherry,PUDUCHERRY,1023699,78.90,807724
34,Rajasthan,ALWAR,2059888,60.07,1237446
35,Rajasthan,BHARATPUR,2114916,52.80,1116742
36,Rajasthan,BIKANER,2048399,54.11,1108418
37,Rajasthan,CHURU,2213187,63.61,1407716
38,Rajasthan,DAUSA,1899304,55.72,1058386
39,Rajasthan,GANGANAGAR,2102002,66.59,1399688
40,Rajasthan,JAIPUR,2287350,63.38,1449612
41,Rajasthan,JAIPUR RURAL,2184978,56.70,1238818
42,Rajasthan,JHUNJHUNU,2068540,52.93,1094900
43,Rajasthan,KARAULI-DHOLPUR,1975352,49.59,979618
44,Rajasthan,NAGAUR,2146725,57.23,1228494
45,Rajasthan,SIKAR,2214900,57.53,1274270
46,Sikkim,Sikkim,464140,79.88,370765
47,Tamil Nadu,ARAKKONAM,1562871,74.19,1159441
48,Tamil Nadu,ARANI,1496118,75.76,1133520
49,Tamil Nadu,CHENNAI CENTRAL,1350161,53.96,728614
50,Tamil Nadu,CHENNAI NORTH,1496224,60.11,899367
51,Tamil Nadu,CHENNAI SOUTH,2023133,54.17,1096026
52,Tamil Nadu,CHIDAMBARAM,1519847,76.37,1160762
53,Tamil Nadu,COIMBATORE,2106124,64.89,1366597
54,Tamil Nadu,CUDDALORE,1412746,72.57,1025298
55,Tamil Nadu,DHARMAPURI,1524896,81.20,1238184
56,Tamil Nadu,DINDIGUL,1607051,71.14,1143196
57,Tamil Nadu,ERODE,1538778,70.59,1086287
58,Tamil Nadu,KALLAKURICHI,1568681,79.21,1242597
59,Tamil Nadu,KANCHEEPURAM,1748866,71.68,1253582
60,Tamil Nadu,KANNIYAKUMARI,1557915,65.44,1019532
61,Tamil Nadu,KARUR,1429790,78.70,1125241
62,Tamil Nadu,KRISHNAGIRI,1623179,71.50,1160498
63,Tamil Nadu,MADURAI,1582271,62.04,981650
64,Tamil Nadu,MAYILADUTHURAI,1545568,70.09,1083243
65,Tamil Nadu,NAGAPATTINAM,1345120,71.94,967694
66,Tamil Nadu,NAMAKKAL,1452562,78.21,1136069
67,Tamil Nadu,NILGIRIS,1428387,70.95,1013410
68,Tamil Nadu,PERAMBALUR,1446352,77.43,1119881
69,Tamil Nadu,POLLACHI,1597467,70.41,1124743
70,Tamil Nadu,RAMANATHAPURAM,1617688,68.19,1103036
71,Tamil Nadu,SALEM,1658681,78.16,1296481
72,Tamil Nadu,SIVAGANGA,1633857,64.26,1049887
73,Tamil Nadu,SRIPERUMBUDUR,2382119,60.25,1435243
74,Tamil Nadu,TENKASI,1525439,67.65,1031961
75,Tamil Nadu,THANJAVUR,1501226,68.27,1024949
76,Tamil Nadu,THENI,1622949,69.84,1133513
77,Tamil Nadu,THOOTHUKKUDI,1458430,66.88,975468
78,Tamil Nadu,TIRUCHIRAPPALLI,1553985,67.51,1049093
79,Tamil Nadu,TIRUNELVELI,1654503,64.10,1060461
80,Tamil Nadu,TIRUPPUR,1608521,70.62,1135998
81,Tamil Nadu,TIRUVALLUR,2085991,68.59,1430738
82,Tamil Nadu,TIRUVANNAMALAI,1533099,74.24,1138102
83,Tamil Nadu,VELLORE,1528273,73.53,1123715
84,Tamil Nadu,VILUPPURAM,1503115,76.52,1150164
85,Tamil Nadu,VIRUDHUNAGAR,1501942,70.22,1054634
86,Tripura,Tripura West,1463526,81.48,1192435
87,Uttar Pradesh,Bijnor,1738307,58.73,1020947
88,Uttar Pradesh,Kairana,1722432,62.46,1075839
89,Uttar Pradesh,Moradabad,2059578,62.18,1280706
90,Uttar Pradesh,Muzaffarnagar,1817472,59.13,1074608
91,Uttar Pradesh,Nagina,1644909,60.75,999203
92,Uttar Pradesh,Pilibhit,1831699,63.11,1155917
93,Uttar Pradesh,Rampur,1731836,55.85,967200
94,Uttar Pradesh,Saharanpur,1855310,66.14,1227083
95,Uttarakhand,Almora,1339327,48.74,652726
96,Uttarakhand,Garhwal,1369388,52.42,717834
97,Uttarakhand,Haridwar,2035726,63.53,1293362
98,Uttarakhand,Nainital-Udhamsingh Nagar,2015809,62.47,1259180
99,Uttarakhand,Tehri Garhwal,1577664,53.76,848186
100,West Bengal,Alipurduars,1773252,79.76,1414258
101,West Bengal,Coochbehar,1966893,82.16,1616079
102,West Bengal,Jalpaiguri,1885963,83.66,1577828
